"allophone","html","utf"
"i","i","i"
"e","e","e"
"a","a","a"
"o","o","o"
"u","u","u"
"iGlide","i"&#815;,"i̯"
"eGlide","e"&#815;,"e̯"
"oGlide","o"&#815;,"o̯"
"uGlide","u"&#815;,"u̯"
"p","p","p"
"t","t&#810;","t̪"
"k","k","k"
"b","b","b"
"d","d&#810;","d̪"
"g","g","g"
"phi","&#632";,"ɸ"
"f","f","f"
"th","&theta;","θ"
"sap","s&#826;","s̺"
"s","s","s"
"sh","&#643;","ʃ"
"x","x","x"
"X","&chi;","χ"
"h","h","h"
"v","v","v"
"z","z","z"
"jj","&#658;","ʒ"
"j","&#669;","ʝ"
"ts","&#x2A7;","ʧ"
"ds","&#x2A4;","ʤ"
"B","&beta;","β"
"D","&eth;","ð"
"J","j","j"
"G","&gamma;","ɣ"
"w","w","w"
"lth","l&#800;","l̠"
"ldn","l&#810;","l̪"
"l","l","l"
"lap","&#621;","ɭ"
"Y","&#654;","ʎ"
"r","&#638;","ɾ"
"rr","r","r"
"R","R","ʀ"
"m","m","m"
"mf","&#625;","ɱ"
"nth","n&#800;","n̠"
"ndn","n&#810;","n̪"
"n","n","n"
"nap","&#627;","ɳ"
"nh","&#626;","ɲ"
"ng","&#331;","ŋ"